title,date,url
Hands-on Tutorial of Deep Learning,2017-12-16,talk-DL-DSC
Hands-on Tutorial of Machine Learning in Python,2017-09-19,talk-ML-AS
Ten Tips for Training Neural Networks,2017-03-09,talk-DL-AWS
Practical Data Analysis in R,2016-09-04,talk-R-DSC
